copai-webui  | 2026-04-08 17:18:53.515 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 164.52.0.92:0 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:29:45.826 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:43582 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:37:44.407 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:51686 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:44:29.652 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:56962 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:44:37.260 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 46.151.178.13:0 - "PROPFIND / HTTP/1.1" 405 - {}
copai-webui  | 2026-04-08 17:47:25.665 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 5.61.209.107:0 - "GET /SDK/webLanguage HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:50:21.921 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:33034 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:54:03.446 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:39744 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:00:54.954 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:35018 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:09:30.455 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:59076 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:12:16.184 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 3.134.216.108:0 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:14:55.642 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:40762 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:18:30.368 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:59248 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:25:13.229 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:51654 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:32:29.878 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 206.223.230.39:0 - "GET /actuator/heapdump HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:32:29.882 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 206.223.230.39:0 - "GET /actuator/heapdump HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:32:29.883 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 206.223.230.39:0 - "GET /heapdump HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:32:29.887 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 206.223.230.39:0 - "GET /heapdump HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:34:01.409 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:52086 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:40:54.881 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:33014 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:41:35.322 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:33356 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:48:49.263 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:52678 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:54:53.271 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:56532 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 18:58:47.858 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 46.151.178.13:0 - "PROPFIND / HTTP/1.1" 405 - {}
copai-webui  | 2026-04-08 19:03:54.601 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:46298 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:04:52.863 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:43476 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:10:56.444 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:60392 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:16:18.993 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 58.229.188.59:0 - "GET /admin/config.php HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:21:31.619 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:34246 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:25:19.763 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 180.149.125.163:0 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:26:39.223 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:45194 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:29:12.095 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:41028 - "GET / HTTP/1.1" 200 - {}
copai-webui  | Invalid HTTP request received.
copai-webui  | 2026-04-08 19:37:05.281 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 91.230.168.205:35505 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:37:34.195 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:40106 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:40:18.855 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 54.234.66.106:0 - "GET /favicon.ico HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:40:34.876 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 195.184.76.157:55703 - "GET /static/favicon.png HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:43:44.902 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:53392 - "GET / HTTP/1.1" 200 - {}
copai-webui  | Invalid HTTP request received.
copai-webui  | 2026-04-08 19:48:06.689 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 3.80.92.191:0 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:48:20.443 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 44.202.33.214:0 - "GET /robots.txt HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:48:58.013 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 54.208.25.95:25788 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:54:54.240 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:53556 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 19:55:55.910 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:37682 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:02:00.331 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:58396 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:08:16.816 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:49042 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:08:45.594 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 46.151.178.13:0 - "PROPFIND / HTTP/1.1" 405 - {}
copai-webui  | 2026-04-08 20:15:45.570 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 45.156.128.126:51326 - "GET /js/NewWindow_2_all.js HTTP/1.1" 404 - {}
